id,name,email,tax_id,address,country,zip,load_date
1345,Karen Moore,karen.moore@mail.com,TAX-608714,6287 Main St,UK,53619,
1345,Karen Moore,karen.moore@mail.com,???,6287 Main St,UK,53619,0000-00-00
1345,Karen Moore,,TAX-608714,6287 Main St,UK,53619,not-a-date
1345,Karen Moore,karen.moore@mail.com,TAX-608714,6287 Main St,UK,53619,2026-04-21
1345,,not-an-email,0000000000,6287 Main St,UK,53619,20260301
25,Charles Gonzalez,not-an-email,TAX-680556,3982 Oak Ave,,24900,0000-00-00
103,Björn Thomas,björn.thomas@mail.com,TAX-877485,5912 Main St,FR,13239,2026-05-13
103,Björn Thomas,björn.thomas@mail.com,TAX-877485,5912 Main St,FR,13239,
103,Björn Thomas,björn.thomas@mail.com,TAX-877485,5912 Main St,FR,13239,20260505
103,Björn Thomas,björn.thomas@,,5912 Main St,FR,13239,not-a-date
103,Björn Thomas,,TAX-877485,5912 Main St,FR,13239,20260217
103,Björn Thomas,@example.com,TAX-877485,5912 Main St,FR,13239,01/13/2026
103,Björn Thomas,björn.thomas@mail.com,???,5912 Main St,FR,13239,not-a-date
103,Björn Thomas,björn.thomas@mail.com,TAX-877485,5912 Main St,,13239,20260501
694,André-Hernandez,andré.hernandez@example.com,0000000000,4874 Main St,FR,42396,not-a-date
694,André Hernandez,andré.hernandez@example.com,TAX-656714,4874 Main St,FR,42396,20260309
756,Charles Moore,charles.moore@globex.co,TAX-465910,5571 Main St,de,29042,20260118
671,Björn Miller,,TAX-532528,6218 Oak Ave,DE,44673,02/23/2026
671,Björn Miller,björn.miller@mail.com,N/A,6218 Oak Ave, FR,44673,20260426
815,André Brown,andré.brown@mail.com,TAX-125831,594 Oak Ave,XX,61974,20260111
815,André Brown,andré.brown@mail.com,???,594 Oak Ave,DE,61974,20260609
815,André Brown,andré.brown@mail.com,TAX-125831,594 Oak Ave,DE,61974,
815,André Brown,,TAX-125831,594 Oak Ave,DE,61974,02/12/2026
815,André Brown,andré.brown@mail.com,,594 Oak Ave, UK,61974,05/04/2026
815,André Brown,andré.brown@mail.com,TAX-125831,594 Oak Ave,XX,61974,2026-02-08
815,André Brown,andré.brown@mail.com,TAX-125831,594 Oak Ave,DE,61974,0000-00-00
815,André Brown,andré.brown@mail.com,,594 Oak Ave,DE,61974,07/03/2026
242,Patricia-Davis,patricia.davis@mail.com,TAX-281884,2935 Main St,DE,53666,
137,Nguyễn Wilson,nguyễn.wilson@globex.co,???,3007 Oak Ave,DE,59781,2026-05-20
552,Nguyễn Rodriguez,nguyễn.rodriguez@,TAX-967692,3892 Oak Ave,UK,45398,0000-00-00
552,,nguyễn.rodriguez@globex.co,N/A,3892 Oak Ave,,45398,20260306
552,Nguyễn Rodriguez,nguyễn.rodriguez@globex.co,TAX-967692,3892 Oak Ave,XX,45398,01/12/2026
552,Nguyễn-Rodriguez,nguyễn.rodriguez@@example.com,,3892 Oak Ave,,45398,0000-00-00
552,Nguyễn Rodriguez,nguyễn.rodriguez@globex.co,TAX-,3892 Oak Ave,UK,45398,20260613
552,,nguyễn.rodriguez@globex.co,,3892 Oak Ave, FR,45398,2026-01-22
552,  Nguyễn Rodriguez  ,nguyễn.rodriguez@globex.co,TAX-967692,3892 Oak Ave,XX,45398,20260727
552,Nguyễn Rodriguez,nguyễn.rodriguez@globex.co,TAX-967692,3892 Oak Ave,,45398,not-a-date
784,Linda N.,linda.nguyễn@globex.co,TAX-561003,3913 Oak Ave,XX,97948,13/45/2026
14,William Martin,,TAX-769332,6029 Main St,DE,90365,02/17/2026
909,Renée Rodriguez,renée.rodriguez@example.com,TAX-872521,1813 Main St,CA,34535,20260525
1169,Joseph Van Der Berg,joseph.van.der.berg@acme.com,???,6883 Main St,CA,57872,2026
1049,Müller Rodriguez,müller.rodriguez@example.com,???,1881 Main St,,27391,20260115
1049,Müller Rodriguez,müller.rodriguez@example.com,???,1881 Main St, CA,27391,20260302
1049,müller rodriguez,müller.rodriguez @example.com,TAX-563084,1881 Main St,XX,27391,06/04/2026
1265,Linda García,linda.garcía@example.com,0000000000,7030 Main St,BR,11862,
958,James Fürst,not-an-email,TAX-398184,7893 Oak Ave,FR,73882,2026
654,Karen Anderson,karen.anderson@globex.co,TAX-853460,9822 Oak Ave,IN,50562,20260421
1459,Mary G.,not-an-email,TAX-906791,3537 Oak Ave, BR,18990,
339,Elizabeth García,elizabeth.garcía@@example.com,TAX-819015,1302 Main St,BR,74547,2026
339,Elizabeth García,elizabeth.garcía@globex.co,???,1302 Main St,BR,74547,20260725
339,Elizabeth García,elizabeth.garcía@globex.co,TAX-819015,1302 Main St,,74547,20260117
339,Elizabeth García,elizabeth.garcía@globex.co,TAX-819015,1302 Main St,BR,74547,2026
339,Elizabeth García,elizabeth.garcía @example.com,TAX-819015,1302 Main St,BR,74547,06/09/2026
